# 서버이관 IP 인덱스 — 서버이관_통합정보.xlsx 에서 생성 (구분자 |)
# 생성일 2026-08-19 / 원본시트: 운영_통합정보, 개발_통합정보
# 대응IP = ASIS행이면 TO-BE IP, TOBE행이면 AS-IS IP
# 편집은 메모장으로. 엑셀 열기는 텍스트 마법사에서 구분자 | 지정
IP|환경|단계|종류|시스템|구분|서버명|업무코드|업무명|PORT|URL|Instance|담당|대응IP|비고
10.10.89.73|운영|TOBE|IP|총무지원|WEB|p1gptiwb1/2|LGS;RLM;CDM;GPT;CGS|법무지원;부동산임차관리;스마트공시지원;스마트총무지원;위탁관리|8080 / -;9080 / 9443;8480 / 8483;80 / 443;- / 2443|http://dblaw.dbins.co.kr:8080;https://rlm.mdbins.net:9443 (내부);http://iss.dbins.co.kr:8483;http://iss.dbins.co.kr (내부);https://cic.dbins.net:2443 (내부)||한지효 / 유일한;정수영 / 정수영;송준규 / 정수영;강종구 / 정수영;롯데정보통신 / 박영주|10.10.17.99|OS: Linux
10.10.89.74|운영|TOBE|IP|총무지원|WEB|p1gptiwb1/2|LGS;RLM;CDM;GPT;CGS|법무지원;부동산임차관리;스마트공시지원;스마트총무지원;위탁관리|8080 / -;9080 / 9443;8480 / 8483;80 / 443;- / 2443|http://dblaw.dbins.co.kr:8080;https://rlm.mdbins.net:9443 (내부);http://iss.dbins.co.kr:8483;http://iss.dbins.co.kr (내부);https://cic.dbins.net:2443 (내부)||한지효 / 유일한;정수영 / 정수영;송준규 / 정수영;강종구 / 정수영;롯데정보통신 / 박영주|10.10.17.100|OS: Linux
10.10.91.60|운영|TOBE|IP|고객안내자료심의|WEB|pz-wcfsws1|CFS|고객안내자료심의|80 / 443|http://agc.dbins.co.kr||이세영 / 유일한|10.10.18.172|WEB/WAS 동일 서버
10.10.91.60|운영|TOBE|IP|고객안내자료심의|WAS|pz-wcfsws1|||||||10.10.18.172|
10.10.91.76|운영|TOBE|IP|모바일주행거리|WAS|PZ-MSMTWAS1/2|||||||10.10.61.27|
10.10.91.77|운영|TOBE|IP|모바일주행거리|WAS|PZ-MSMTWAS1/2|||||||10.10.61.28|
10.10.91.79|운영|TOBE|IP|모바일DM|WAS|PZ-MIDMWAS1/2|||||||10.10.150.33|
10.10.91.80|운영|TOBE|IP|모바일DM|WAS|PZ-MIDMWAS1/2|||||||10.10.150.34|
10.10.91.84|운영|TOBE|IP|보상모바일|WAS|PZ-MCPSWAS1/2|MCA;AAD|보상모바일관리자;보상모바일앱위변조관리자|87 / 450;90 / 453|http://mobileeclaimadm.dbins.co.kr:9082;http://10.10.150.39:9084||한창훈 / 한창훈;솔루션|10.10.150.39|
10.10.91.84|운영|TOBE|IP|보상PRM|WAS|PZ-MCPSWAS1/2|||||||10.10.150.39|
10.10.91.85|운영|TOBE|IP|보상모바일|WAS|PZ-MCPSWAS1/2|MCA;AAD|보상모바일관리자;보상모바일앱위변조관리자|87 / 450;90 / 453|http://mobileeclaimadm.dbins.co.kr:9082;http://10.10.150.39:9084||한창훈 / 한창훈;솔루션|10.10.150.40|
10.10.91.85|운영|TOBE|IP|보상PRM|WAS|PZ-MCPSWAS1/2|||||||10.10.150.40|
10.10.91.103|운영|TOBE|IP|총무지원|WAS|p1gptws1/2|||||||10.10.150.49|
10.10.91.104|운영|TOBE|IP|총무지원|WAS|p1gptws1/2|||||||10.10.150.50|
10.10.91.125|운영|TOBE|IP|통합푸쉬|WAS|PZ-MTPSWAS1/2|||||||10.10.17.27|
10.10.91.126|운영|TOBE|IP|통합푸쉬|WAS|PZ-MTPSWAS1/2|||||||10.10.17.28|
10.88.22.133|운영|TOBE|IP|통합푸쉬|WEB|PZ-MTPSWEB1/2|MTP|통합푸쉬|80 / 443|https://push.mdbins.com||김태혁 / 장영민|210.127.41.117|
10.88.22.134|운영|TOBE|IP|통합푸쉬|WEB|PZ-MTPSWEB1/2|MTP|통합푸쉬|80 / 443|https://push.mdbins.com||김태혁 / 장영민|210.127.41.118|
10.88.22.152|운영|TOBE|VIP|모바일CSI|WEB|PZ-MCSIWEB1/2|MCS;MAI;MOP|모바일CSI;모바일사고조사;모바일포탈|80 / 443;2080 / 2443;8110 / 8100|https://mcsi.mdbins.com:443;https://mcsi.mdbins.com:2443;https://mcsi.mdbins.com:8100||김연수 / 장영민;안정진 / 장영민||OS: Windows;★주황
10.88.22.153|운영|TOBE|VIP|모바일디빈스|WEB|PZ-WMDBWEB1/2|MDB;AGW|모바일디빈스;앱위변조(Appiron)|80 / 443;8210 / 8200|https://dboffice.mdbins.com:443;https://dboffice.mdbins.com:8200||안정진;솔루션|210.124.234.111|★주황
10.88.22.154|운영|TOBE|VIP|모바일DM|WEB|PZ-MIDMWEB1/2|DIM;MAH;LTC;AHP;AHV;VIE|모바일DM;모바일사고조회;장기계약변경서류전송;모바일사고조회 사진업로드;모바일사고조회 동영상업로드;웹뷰|80 / 443;8050 / 8443;8051 / 8444|https://dm.mdbins.com:443;https://dm.mdbins.com:8443;https://dm.mdbins.com:8444||황가람 / 장영민;안정진, 최성식 / 장영민;강동효 / 장영민;솔루션||
10.88.22.154|운영|TOBE|VIP|비대면전자서식|WEB|PZ-MIDMWEB1/2|NSS|비대면전자서식|8510 / 8500|https://dm.mdbins.com:8500||자동차보상(정상현) / 일반보상(김두리나) / 장기보상(조현석) / 자동차보상(김태은) / 일반보상(한창훈) / 장기보상(조현석)||
10.88.22.155|운영|TOBE|VIP|총무지원|WEB|p2gptewb1/2|LPR;RLM;GPT;CGS|변호사PRM;부동산임차관리;스마트총무지원;위탁관리|- / 8443;9080 / 9443;80 / 443;- / 443|https://lawprm.dbins.co.kr:8443;https://rlm.mdbins.com:9443;http://iss.mdbins.com;http://cic.dbins.co.kr||한지효 / 유일한;정수영 / 정수영;강종구 / 정수영;롯데정보통신 / 박영주||
10.88.22.156|운영|TOBE|VIP|통합푸쉬|WEB|PZ-MTPSWEB1/2|MTP|통합푸쉬|80 / 443|https://push.mdbins.com||김태혁 / 장영민|210.124.234.129|
10.88.22.157|운영|TOBE|VIP|보상모바일|WEB|PZ-MCPSWEB1/2|MCL;AGW;HFM|보상모바일;보상모바일앱위변조;보상모바일전자서식|80 / 443;89 / 452;85 / 81|https://mobileeclaim.mdbins.com;http://mobileeclaim.mdbins.com:89;https://mobileeclaim.mdbins.com:81||한창훈 / 한창훈;솔루션||★주황
10.88.22.157|운영|TOBE|VIP|보상PRM|WEB|PZ-MCPSWEB1/2|CPR;PRD|보상PRM;보상PRMRD|8250 / 9251;8000 / 8043|https://prm.dbpromy.co.kr;https://prm.dbpromy.co.kr:8043||김계원 / 김태은;솔루션||
10.88.22.179|운영|TOBE|IP|모바일DM|WEB|PZ-MIDMWEB1/2|DIM;MAH;LTC;AHP;AHV;VIE|모바일DM;모바일사고조회;장기계약변경서류전송;모바일사고조회 사진업로드;모바일사고조회 동영상업로드;웹뷰|80 / 443;8050 / 8443;8051 / 8444|https://dm.mdbins.com:443;https://dm.mdbins.com:8443;https://dm.mdbins.com:8444||황가람 / 장영민;안정진, 최성식 / 장영민;강동효 / 장영민;솔루션|210.124.234.137|
10.88.22.179|운영|TOBE|IP|비대면전자서식|WEB|PZ-MIDMWEB1/2|NSS|비대면전자서식|8510 / 8500|https://dm.mdbins.com:8500||자동차보상(정상현) / 일반보상(김두리나) / 장기보상(조현석) / 자동차보상(김태은) / 일반보상(한창훈) / 장기보상(조현석)|210.124.234.137|
10.88.22.180|운영|TOBE|IP|모바일DM|WEB|PZ-MIDMWEB1/2|DIM;MAH;LTC;AHP;AHV;VIE|모바일DM;모바일사고조회;장기계약변경서류전송;모바일사고조회 사진업로드;모바일사고조회 동영상업로드;웹뷰|80 / 443;8050 / 8443;8051 / 8444|https://dm.mdbins.com:443;https://dm.mdbins.com:8443;https://dm.mdbins.com:8444||황가람 / 장영민;안정진, 최성식 / 장영민;강동효 / 장영민;솔루션|210.124.234.138|
10.88.22.180|운영|TOBE|IP|비대면전자서식|WEB|PZ-MIDMWEB1/2|NSS|비대면전자서식|8510 / 8500|https://dm.mdbins.com:8500||자동차보상(정상현) / 일반보상(김두리나) / 장기보상(조현석) / 자동차보상(김태은) / 일반보상(한창훈) / 장기보상(조현석)|210.124.234.138|
10.88.22.199|운영|TOBE|IP|모바일주행거리|WEB|SMARTWEB1/2|MCE;MMX|영업용모바일고객컨텐츠및전자서명;모바일주행거리블랙박스|8085 / 8485;8084 / 7443|https://cdsm.mdbins.com:8485;https://cdsm.mdbins.com:7443||김태혁, 배병용 / 장영민, 배병용;김연수 / 장영민|210.127.41.35|
10.88.22.200|운영|TOBE|IP|모바일주행거리|WEB|SMARTWEB1/2|MCE;MMX|영업용모바일고객컨텐츠및전자서명;모바일주행거리블랙박스|8085 / 8485;8084 / 7443|https://cdsm.mdbins.com:8485;https://cdsm.mdbins.com:7443||김태혁, 배병용 / 장영민, 배병용;김연수 / 장영민|210.127.41.36|
10.88.22.202|운영|TOBE|IP|모바일CSI|WEB|PZ-MCSIWEB1/2|MCS;MAI;MOP|모바일CSI;모바일사고조사;모바일포탈|80 / 443;2080 / 2443;8110 / 8100|https://mcsi.mdbins.com:443;https://mcsi.mdbins.com:2443;https://mcsi.mdbins.com:8100||김연수 / 장영민;안정진 / 장영민|210.127.41.99|OS: Windows;★주황
10.88.22.203|운영|TOBE|IP|모바일CSI|WEB|PZ-MCSIWEB1/2|MCS;MAI;MOP|모바일CSI;모바일사고조사;모바일포탈|80 / 443;2080 / 2443;8110 / 8100|https://mcsi.mdbins.com:443;https://mcsi.mdbins.com:2443;https://mcsi.mdbins.com:8100||김연수 / 장영민;안정진 / 장영민|210.127.41.100|OS: Windows;★주황
10.88.22.205|운영|TOBE|IP|모바일디빈스|WEB|PZ-WMDBWEB1/2|MDB;AGW|모바일디빈스;앱위변조(Appiron)|80 / 443;8210 / 8200|https://dboffice.mdbins.com:443;https://dboffice.mdbins.com:8200||안정진;솔루션|210.127.41.101|★주황
10.88.22.206|운영|TOBE|IP|모바일디빈스|WEB|PZ-WMDBWEB1/2|MDB;AGW|모바일디빈스;앱위변조(Appiron)|80 / 443;8210 / 8200|https://dboffice.mdbins.com:443;https://dboffice.mdbins.com:8200||안정진;솔루션|210.127.41.102|★주황
10.88.22.208|운영|TOBE|IP|보상모바일|WEB|PZ-MCPSWEB1/2|MCL;AGW;HFM|보상모바일;보상모바일앱위변조;보상모바일전자서식|80 / 443;89 / 452;85 / 81|https://mobileeclaim.mdbins.com;http://mobileeclaim.mdbins.com:89;https://mobileeclaim.mdbins.com:81||한창훈 / 한창훈;솔루션|210.127.32.21|★주황
10.88.22.208|운영|TOBE|IP|보상PRM|WEB|PZ-MCPSWEB1/2|CPR;PRD|보상PRM;보상PRMRD|8250 / 9251;8000 / 8043|https://prm.dbpromy.co.kr;https://prm.dbpromy.co.kr:8043||김계원 / 김태은;솔루션|210.127.32.21|
10.88.22.209|운영|TOBE|IP|보상모바일|WEB|PZ-MCPSWEB1/2|MCL;AGW;HFM|보상모바일;보상모바일앱위변조;보상모바일전자서식|80 / 443;89 / 452;85 / 81|https://mobileeclaim.mdbins.com;http://mobileeclaim.mdbins.com:89;https://mobileeclaim.mdbins.com:81||한창훈 / 한창훈;솔루션|210.127.32.22|★주황
10.88.22.209|운영|TOBE|IP|보상PRM|WEB|PZ-MCPSWEB1/2|CPR;PRD|보상PRM;보상PRMRD|8250 / 9251;8000 / 8043|https://prm.dbpromy.co.kr;https://prm.dbpromy.co.kr:8043||김계원 / 김태은;솔루션|210.127.32.22|
10.88.22.238|운영|TOBE|IP|총무지원|WEB|p2gptewb1/2|LPR;RLM;GPT;CGS|변호사PRM;부동산임차관리;스마트총무지원;위탁관리|- / 8443;9080 / 9443;80 / 443;- / 443|https://lawprm.dbins.co.kr:8443;https://rlm.mdbins.com:9443;http://iss.mdbins.com;http://cic.dbins.co.kr||한지효 / 유일한;정수영 / 정수영;강종구 / 정수영;롯데정보통신 / 박영주|210.127.32.29|
10.88.22.239|운영|TOBE|IP|총무지원|WEB|p2gptewb1/2|LPR;RLM;GPT;CGS|변호사PRM;부동산임차관리;스마트총무지원;위탁관리|- / 8443;9080 / 9443;80 / 443;- / 443|https://lawprm.dbins.co.kr:8443;https://rlm.mdbins.com:9443;http://iss.mdbins.com;http://cic.dbins.co.kr||한지효 / 유일한;정수영 / 정수영;강종구 / 정수영;롯데정보통신 / 박영주|210.127.32.30|
